"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10"
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-01","3.80"," 1627",,"0.00",,,,,"89","62","  110","  110","8.9","12.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-02","4.92"," 1617",,"0.00",,,,,"90","65","  140","  160","8.9","12.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-03","5.82"," 1236",,"0.00",,,,,"91","66","  200","  210","14.1","17.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-04","6.71"," 1029",,"0.00",,,,,"86","71","  220","  210","14.1","17.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-05","5.59"," 0201",,"0.03",,,,,"82","67","  360","   10","13.0","17.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-06","5.14"," 1152",,"0.00",,,,,"83","64","   70","   70","10.1","133.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-07","2.91"," 1955",,"0.00",,,,,"86","62","   90","  290","6.9","8.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-08","2.91"," 1434",,"0.00",,,,,"89","65","  290","  340","8.1","12.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-09","4.47"," 1358",,"0.00",,,,,"91","63","  230","  240","8.9","14.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-10","5.37"," 1158",,"0.00",,,,,"90","69","  280","  270","13.0","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-11","4.03"," 1817",,"0.00",,,,,"92","68","  110","  100","14.1","17.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-12","6.04"," 1936",,"0.19",,,,,"92","71","  220","  220","16.1","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-13","6.26"," 1346",,"0.02",,,,,"85","68","  290","  290","16.1","21.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-14","6.71"," 0845",,"0.23",,,,,"70","66","   30","   50","13.0","15.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-15","5.82"," 0104",,"0.12",,,,,"73","63","   60","   80","12.1","14.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-16","4.92"," 1623",,"0.01",,,,,"82","63","   30","   40","12.1","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-17","5.37"," 1337",,"0.00",,,,,"83","62","  120","  130","13.0","16.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-18","6.93"," 2229",,"0.54",,,,,"86","67","  230","  240","31.1","38.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-19","7.61"," 0033",,"1.93",,,,,"90","68","  260","  260","29.1","38.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-20","7.83"," 1338",,"0.00",,,,,"86","69","  270","  260","16.1","21.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-21","3.80"," 0634",,"0.05",,,,,"85","63","  270",,"29.1",,,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-22","6.71"," 2028",,"0.00",,,,,"80","61","   50","   50","16.1","21.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-23","9.17"," 1604",,"0.00",,,,,"76","56","   40","   40","16.1","19.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-24","8.05"," 1230",,"0.00",,,,,"79","55","   80","   70","14.1","17.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-25","4.92"," 2357",,"0.02",,,,,"80","60","  240","  240","8.9","12.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-26","3.36"," 0216",,"0.01",,,,,"81","67","   20","   20","12.1","14.1",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-27","5.59"," 1203",,"0.01",,,,,"84","58","  320","  320","16.1","21.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-28","4.03"," 0613",,"0.00",,,,,"88","44","  160","  160","10.1","138.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-29","4.03"," 2112",,"0.00",,,,,"86","63","   50","  130","8.9","13.0",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-30","10.29"," 1241",,"0.00",,,,,"76","63","   20","   20","19.9","25.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-08-31","6.04"," 1254",,"0.00",,,,,"80","58","  310","  300","13.0","23.9",,,,,,,,,
"USW00094870","CHAMPAIGN URBANA WILLARD AIRPORT, IL US","2005-09-01","6.93"," 1511",,"0.00",,,,,"85","54","  310","  320","15.0","19.9",,,,,,,,,
